Timestamp,Sedimentation_pH,Sedimentation_ORP,CleanWater_pH,CleanWater_ORP,CleanWater_Level,Pump_A_Status,Pump_B_Status,Dosing_Pump_Status,Free_Chlorine_DPD_mgL,Air_Clean_Pulse,Alarm_Status,Notes
2026-09-01 00:00:00,7.12,485,7.35,710,NORMAL,RUNNING,STOPPED,RUNNING,0.58,0,NORMAL,常態運轉
2026-09-01 01:00:00,7.10,482,7.34,708,NORMAL,RUNNING,STOPPED,RUNNING,0.56,0,NORMAL,常態運轉
2026-09-01 02:00:00,7.15,488,7.36,715,HIGH,STOPPED,STOPPED,STOPPED,0.60,0,NORMAL,滿水停泵
2026-09-01 03:00:00,7.18,490,7.38,712,NORMAL,STOPPED,STOPPED,STOPPED,0.59,0,NORMAL,水位維持
2026-09-01 04:00:00,7.14,486,7.35,710,NORMAL,STOPPED,STOPPED,STOPPED,0.58,1,NORMAL,電極自動空氣清洗脈衝
2026-09-01 05:00:00,7.11,480,7.33,705,LOW,STOPPED,RUNNING,RUNNING,0.55,0,NORMAL,水位偏低交替輪換啟動Pump B
2026-09-01 06:00:00,7.09,478,7.32,702,NORMAL,STOPPED,RUNNING,RUNNING,0.54,0,NORMAL,常態加氯過濾
2026-09-01 07:00:00,7.13,484,7.35,711,NORMAL,STOPPED,RUNNING,RUNNING,0.57,0,NORMAL,常態加氯過濾
2026-09-01 08:00:00,7.16,489,7.37,716,HIGH,STOPPED,STOPPED,STOPPED,0.61,0,NORMAL,水位於上限自動停泵
2026-09-01 09:00:00,7.15,487,7.36,714,NORMAL,STOPPED,STOPPED,STOPPED,0.60,0,NORMAL,人工DPD採樣對比校正 (0.60 mg/L - ORP 714mV)
2026-09-01 10:00:00,6.85,420,7.28,640,LOW,RUNNING,STOPPED,RUNNING,0.32,0,ALARM_LOW_ORP,暴雨原水有機物上升導致ORP下降警報
2026-09-01 11:00:00,6.92,445,7.31,675,NORMAL,RUNNING,STOPPED,RUNNING,0.42,0,NORMAL,提高投藥後ORP恢復正常
2026-09-01 12:00:00,7.10,480,7.34,708,NORMAL,RUNNING,STOPPED,RUNNING,0.56,0,NORMAL,系統穩定
